moisture,time_stamp
74.29,18-Jul-2022 13:04:10
74.29,18-Jul-2022 13:24:06
77.14,18-Jul-2022 13:44:01
80.41,18-Jul-2022 14:03:54
81.63,18-Jul-2022 14:23:50
79.59,18-Jul-2022 14:43:44
78.37,18-Jul-2022 15:03:39
77.14,18-Jul-2022 15:43:27
76.33,18-Jul-2022 16:03:24
75.92,18-Jul-2022 16:23:19
75.92,18-Jul-2022 16:43:13
75.51,18-Jul-2022 17:03:06
75.51,18-Jul-2022 17:23:01
74.69,18-Jul-2022 17:42:55
75.1,18-Jul-2022 18:02:49
74.69,18-Jul-2022 18:22:44
74.69,18-Jul-2022 18:42:38
74.69,18-Jul-2022 19:02:32
74.69,18-Jul-2022 19:22:27
74.69,18-Jul-2022 19:42:23
74.29,18-Jul-2022 20:02:18
74.29,18-Jul-2022 20:22:12
74.29,18-Jul-2022 20:42:06
73.88,18-Jul-2022 21:02:00
73.88,18-Jul-2022 21:21:53
74.29,18-Jul-2022 21:41:49
73.88,18-Jul-2022 22:01:44
73.88,18-Jul-2022 22:21:37
73.88,18-Jul-2022 22:41:33
73.47,18-Jul-2022 23:01:28
73.88,18-Jul-2022 23:21:22
73.47,18-Jul-2022 23:41:17
73.47,19-Jul-2022 00:01:11
73.06,19-Jul-2022 00:21:05
73.47,19-Jul-2022 00:40:59
73.47,19-Jul-2022 01:00:53
73.06,19-Jul-2022 01:20:50
72.65,19-Jul-2022 01:40:43
72.65,19-Jul-2022 02:00:40
73.06,19-Jul-2022 02:20:35
73.06,19-Jul-2022 02:40:30
72.65,19-Jul-2022 03:00:25
73.06,19-Jul-2022 03:20:18
73.06,19-Jul-2022 03:40:14
72.65,19-Jul-2022 04:00:09
72.65,19-Jul-2022 04:20:03
72.65,19-Jul-2022 04:39:58
72.24,19-Jul-2022 04:59:54
72.65,19-Jul-2022 05:19:48
72.65,19-Jul-2022 05:39:45
72.65,19-Jul-2022 06:19:34
72.65,19-Jul-2022 06:39:29
72.65,19-Jul-2022 06:59:23
72.65,19-Jul-2022 07:19:16
72.24,19-Jul-2022 07:39:12
72.24,19-Jul-2022 07:59:06
72.24,19-Jul-2022 08:19:02
72.24,19-Jul-2022 08:38:59
72.24,19-Jul-2022 08:58:53
72.24,19-Jul-2022 09:18:48
71.84,19-Jul-2022 09:38:42
71.84,19-Jul-2022 09:58:37
71.84,19-Jul-2022 10:18:32
72.24,19-Jul-2022 10:38:28
71.84,19-Jul-2022 10:58:23
71.84,19-Jul-2022 11:18:19
72.24,19-Jul-2022 11:38:13
71.84,19-Jul-2022 11:58:08
71.84,19-Jul-2022 12:18:02
72.24,19-Jul-2022 12:37:59
71.84,19-Jul-2022 12:57:55
72.24,19-Jul-2022 13:17:50
71.84,19-Jul-2022 13:37:45
71.84,19-Jul-2022 14:17:38
71.84,19-Jul-2022 14:37:34
72.24,19-Jul-2022 14:57:30
72.24,19-Jul-2022 15:17:28
72.24,19-Jul-2022 15:37:25
72.24,19-Jul-2022 15:57:21
72.24,19-Jul-2022 16:17:16
72.24,19-Jul-2022 16:37:10
72.24,19-Jul-2022 16:57:05
71.84,19-Jul-2022 17:36:53
72.24,19-Jul-2022 17:56:47
72.24,19-Jul-2022 18:16:42
72.24,19-Jul-2022 18:36:37
71.84,19-Jul-2022 18:56:32
71.84,19-Jul-2022 19:16:28
72.24,19-Jul-2022 19:36:24
72.24,19-Jul-2022 19:56:17
75.51,19-Jul-2022 20:16:13
78.78,19-Jul-2022 20:36:08
77.96,19-Jul-2022 20:56:02
77.14,19-Jul-2022 21:15:56
76.33,19-Jul-2022 21:35:50
76.33,19-Jul-2022 21:55:45
75.92,19-Jul-2022 22:15:41
75.51,19-Jul-2022 22:35:34
75.1,19-Jul-2022 22:55:30
75.1,19-Jul-2022 23:15:26
74.69,19-Jul-2022 23:35:20
74.69,19-Jul-2022 23:55:16
74.69,20-Jul-2022 00:15:12
74.29,20-Jul-2022 00:35:06
74.29,20-Jul-2022 00:55:01
74.29,20-Jul-2022 01:14:55
74.29,20-Jul-2022 01:34:49
73.88,20-Jul-2022 01:54:45
73.88,20-Jul-2022 02:14:39
73.47,20-Jul-2022 02:34:33
73.88,20-Jul-2022 02:54:29
73.47,20-Jul-2022 03:14:23
73.47,20-Jul-2022 03:34:20
73.47,20-Jul-2022 03:54:15
73.47,20-Jul-2022 04:14:11
73.47,20-Jul-2022 04:34:07
73.47,20-Jul-2022 04:54:02
73.06,20-Jul-2022 05:13:57
73.47,20-Jul-2022 05:33:52
73.47,20-Jul-2022 05:53:46
73.06,20-Jul-2022 06:13:42
73.47,20-Jul-2022 06:33:36
73.06,20-Jul-2022 06:53:31
73.06,20-Jul-2022 07:13:26
73.06,20-Jul-2022 07:33:20
73.06,20-Jul-2022 07:53:16
73.06,20-Jul-2022 08:13:10
73.06,20-Jul-2022 08:33:06
73.06,20-Jul-2022 08:53:01
