relay,time_stamp
0,13-Jul-2022 19:59:29
0,13-Jul-2022 20:04:29
0,13-Jul-2022 20:09:29
0,13-Jul-2022 20:14:29
0,13-Jul-2022 20:19:29
0,13-Jul-2022 20:24:29
0,13-Jul-2022 20:29:29
0,13-Jul-2022 20:34:29
0,13-Jul-2022 20:44:29
0,13-Jul-2022 20:49:29
0,13-Jul-2022 20:54:29
0,13-Jul-2022 20:59:29
0,13-Jul-2022 21:04:29
0,13-Jul-2022 21:09:29
0,13-Jul-2022 21:14:29
0,13-Jul-2022 21:19:29
0,13-Jul-2022 21:24:29
0,13-Jul-2022 21:29:29
0,13-Jul-2022 21:34:29
0,13-Jul-2022 21:39:29
0,13-Jul-2022 21:44:29
0,13-Jul-2022 21:49:29
0,13-Jul-2022 21:54:29
0,13-Jul-2022 21:59:29
0,13-Jul-2022 22:04:29
0,13-Jul-2022 22:09:29
0,13-Jul-2022 22:14:29
0,13-Jul-2022 22:19:29
0,13-Jul-2022 22:24:29
0,13-Jul-2022 22:29:29
0,13-Jul-2022 22:34:29
0,13-Jul-2022 22:39:29
0,13-Jul-2022 22:44:29
0,13-Jul-2022 22:49:29
0,13-Jul-2022 22:54:29
0,13-Jul-2022 22:59:29
0,13-Jul-2022 23:04:29
0,13-Jul-2022 23:09:28
0,13-Jul-2022 23:14:28
0,13-Jul-2022 23:19:29
0,13-Jul-2022 23:24:28
0,13-Jul-2022 23:29:28
0,13-Jul-2022 23:34:28
0,13-Jul-2022 23:39:28
0,13-Jul-2022 23:44:28
0,13-Jul-2022 23:49:28
0,13-Jul-2022 23:54:28
0,13-Jul-2022 23:59:28
0,14-Jul-2022 00:04:28
0,14-Jul-2022 00:09:28
0,14-Jul-2022 00:14:28
0,14-Jul-2022 00:19:28
0,14-Jul-2022 00:24:28
0,14-Jul-2022 00:29:28
0,14-Jul-2022 00:34:28
0,14-Jul-2022 00:39:28
0,14-Jul-2022 00:44:28
0,14-Jul-2022 00:49:28
0,14-Jul-2022 00:54:28
0,14-Jul-2022 00:59:28
0,14-Jul-2022 01:04:28
0,14-Jul-2022 01:09:28
0,14-Jul-2022 01:14:28
0,14-Jul-2022 01:19:28
0,14-Jul-2022 01:24:28
0,14-Jul-2022 01:29:28
